Name,RA_2000_Deg,Dec_2000_Deg,Vmag
,12.818333333333333,61.80583333333333,6.07
,12.739166666666666,51.50805555555556,6.39
,12.515416666666667,42.60527777777778,6.48
,13.72125,83.70722222222223,5.62
,12.890416666666667,51.571111111111115,6.21
Rho,12.671666666666667,49.01305555555555,5.22
,12.82625,3.385,6.37
,13.267083333333334,61.12416666666667,4.82
,12.967083333333333,42.29083333333333,6.9
,13.2225,38.54861111111111,6.69
,13.169166666666667,23.99416666666667,5.46
20,13.252083333333333,0.8558333333333333,4.77
,13.3675,37.418055555555554,6.06
,13.448333333333334,52.689166666666665,6.27
,13.301666666666666,23.223055555555558,6.46
Lam,13.10125,68.49555555555555,6.22
26Ups,13.750416666666666,58.97277777777778,4.83
66,13.646666666666667,19.188333333333333,5.74
21,13.573333333333334,7.259166666666666,6.16
,13.771666666666667,48.67861111111111,6.27
,13.407916666666667,61.12861111111111,5.7
36,13.741666666666667,23.628333333333334,5.47
,13.81125,24.556944444444444,6.2
,14.05375,57.99666666666667,6.21
,14.231666666666667,68.7761111111111,6.37
67,13.99375,27.209444444444443,6.09
,13.926666666666666,6.652777777777778,5.85
27Gam,14.177083333333334,60.71666666666667,2.47
28Ups,14.165833333333333,59.18111111111111,4.63
,14.19625,60.36277777777778,5.55
22Phi,14.00625,10.733333333333333,5.31
,13.98125,26.224444444444444,6.1
37Mu,14.188333333333333,38.49944444444444,3.87
Lam,13.75125,68.47305555555556,5.45
38Eta,14.301666666666666,23.4175,4.42
,14.415416666666667,45.83972222222222,6.12
,14.629583333333333,66.35222222222221,5.97
68,14.459166666666667,28.992222222222225,5.42
,14.559166666666666,33.950833333333335,5.98
,14.477083333333333,13.695833333333333,6.32
,14.57875,21.404444444444444,6.37
,15.129166666666666,70.98305555555555,6.39
23Phi,14.682916666666667,10.62,5.61
Alp,14.651666666666667,28.6425,4.31
,14.593333333333334,59.30361111111112,6.23
,15.014166666666666,44.711111111111116,6.84
,15.015,44.71333333333334,6.04
,14.957083333333333,6.483055555555556,6.11
,17.18625,86.25694444444444,4.25
,23.46,89.01555555555555,6.46
,15.576666666666666,51.035,6.47
Xi,15.32625,37.083333333333336,5.59
,15.75625,47.376111111111115,6.45
39,15.72625,41.345,5.98
69Sig,15.704583333333334,31.804444444444446,5.5
,15.904166666666667,61.075,5.92
Sig,15.61,30.448055555555555,5.5
71Eps,15.735833333333334,7.89,4.28
Ome,15.5075,56.9975,6.11
25,15.760833333333334,3.163333333333333,5.43
,16.081666666666667,61.58027777777778,5.84
,16.01,52.50222222222222,5.99
,15.705,45.6025,5.36
,15.823333333333334,28.47416666666667,6.29
26,15.954166666666667,1.3666666666666667,6.04
,16.195,51.01,6.54
,16.115,29.65861111111111,6.19
,15.67875,64.54388888888889,6.21
,16.151666666666667,39.99111111111111,6.72
,19.05625,87.14527777777778,6.25
73,16.219166666666666,5.656388888888889,6.0
72,16.2725,14.946111111111112,5.68
,16.595,62.76166666666666,6.54
74Psi,16.420416666666668,21.473333333333333,5.34
74Psi,16.42375,21.46527777777778,5.56
,17.30125,80.01166666666667,6.29
77,16.455,4.908333333333334,6.35
77,16.464166666666667,4.9094444444444445,7.25
27,16.403333333333332,8.020833333333334,6.12
,16.750833333333333,56.934999999999995,6.43
28,16.52125,8.160555555555556,5.58
,16.789583333333333,53.498333333333335,6.38
75,16.64,12.95611111111111,6.12
,16.532083333333333,22.0075,6.14
30Mu,17.06833333333333,54.92027777777778,5.17
Bet,16.520833333333332,45.281388888888884,3.31
,16.610416666666666,34.33916666666667,6.61
41,17.00375,43.94194444444444,5.03
,16.804583333333333,22.00361111111111,6.37
,17.13875,58.26361111111111,5.79
78,17.005416666666665,32.01222222222222,6.25
79Psi,16.988333333333333,20.739166666666666,5.55
30,16.9425,8.214444444444444,5.82
80,17.0925,5.649722222222222,5.52
Ups,16.949583333333333,40.51305555555555,5.21
Iot,16.827916666666667,60.224722222222226,5.37
,18.069583333333334,79.6738888888889,5.64
31Eta,17.1475,9.817777777777778,3.45
42Phi,17.375833333333333,47.24194444444444,4.25
31,17.66375,68.7786111111111,5.29
43Bet,17.432916666666667,35.620555555555555,2.06
Zet,17.09625,54.75416666666666,3.92
81Psi,17.455,19.65861111111111,5.55
44,17.578333333333333,42.081388888888895,5.65
,17.580833333333334,25.45777777777778,5.8
,17.856666666666666,64.20277777777778,5.55
33The,17.775833333333335,55.14972222222222,4.33
,17.547916666666666,15.674166666666666,6.06
32,17.9225,65.01888888888888,5.57
32,17.55,7.0938888888888885,6.4
33,17.64,2.445555555555556,5.95
45,17.792916666666667,37.72416666666667,5.81
82,17.778333333333332,31.424722222222222,5.16
,17.530833333333334,56.30555555555556,6.41
84Chi,17.863333333333333,21.034722222222225,4.66
83Tau,17.915,30.08972222222222,4.51
34,17.93125,1.748888888888889,5.94
,18.29125,61.70583333333334,6.41
,18.141666666666666,45.33777777777778,6.11
,18.247916666666665,30.06416666666667,6.19
,19.127916666666668,79.91000000000001,6.26
,18.0975,29.197777777777777,6.52
,18.189166666666665,36.14361111111111,5.92
85Phi,18.437083333333334,24.58361111111111,4.65
86Zet,18.432916666666667,7.575277777777777,5.24
86Zet,18.43875,7.578333333333333,6.3
,18.520833333333332,28.529722222222222,6.43
87,18.531666666666666,16.13361111111111,5.98
,19.050416666666667,71.74388888888889,7.83
37,18.6,6.076944444444444,5.13
88,18.676666666666666,6.995277777777778,6.03
38,18.705,-0.9738888888888889,5.7
,19.102083333333333,48.08222222222223,6.61
Nu,18.79625,44.46861111111111,4.96
,19.078333333333333,33.11472222222223,6.02
,19.27125,44.901944444444446,6.34
39,19.15125,1.4997222222222222,5.41
,19.350416666666668,31.744722222222222,6.73
,20.08125,77.57055555555556,6.31
,19.5425,47.41972222222222,6.25
Kap,18.942083333333333,67.1238888888889,4.86
89,19.45,3.6144444444444446,5.16
,19.695833333333333,37.38611111111111,6.46
,19.265,65.60194444444444,6.24
,20.49625,76.2388888888889,6.38
34Phi,20.020416666666666,58.23166666666667,4.98
90Ups,19.866666666666667,27.264166666666668,4.76
35,20.27166666666667,64.65833333333335,6.34
42,19.95125,-0.5088888888888888,5.87
,20.945,78.72583333333334,6.07
