MOUSE CODE,GENERAL CODE,STEP NUMBER,ETS,EIT,EPL,NTS,NIT,NPL
N2W2,NW1,3,4.09,3.46,14.43,9.02,6.24,9.87
N2W2,NW1,4,5.29,3.16,14.06,9.51,5.71,13.14
N2W2,NW1,5,4.98,2.39,13.24,9.58,5.15,12.66
N3W2,NW1,1,6.41,4.05,14.62,9.68,6.86,13.68
N3W2,NW1,2,5.76,3.21,15.26,7.22,5.63,12.65
N3W2,NW1,3,6.98,5,16.78,7.11,3.92,10.24
N3W2,NW1,4,6.53,4.24,14.4,7.04,4.56,11.21
N4W2,NW1,1,7.26,3.05,16.39,6.33,2.82,18.87
N4W2,NW1,2,5.6,3.26,18.08,12.04,7.53,9.97
N4W2,NW1,3,13.8,3.57,10.07,8.11,5.06,10.42
N4W2,NW1,4,9.94,5.34,10.25,10.61,5.47,9.93
N4W2,NW1,5,10.58,3.83,13.93,10.2,5.82,11.96
N5W2,NW1,1,6.13,3.16,16.87,9.83,6.39,9.79
N5W2,NW1,2,6.24,4.5,16.49,10.25,6.47,11.61
N5W2,NW1,3,5.42,3.25,15.65,9.19,4.19,10.35
N5W2,NW1,4,5.35,3.02,16.66,9.61,4.07,13.96
N5W2,NW1,5,8.31,3.87,18.56,9.11,4.74,12.45
S1W1,SW1,1,8.47,3.79,14.46,7.66,5.1,13.64
S1W1,SW1,2,8.39,4.27,14.29,8.03,4.25,14.27
S1W1,SW1,3,8.97,4.93,14.88,7.81,5.79,13.31
S1W1,SW1,4,9.07,5.5,13.76,7.59,5.09,12.32
S1W1,SW1,5,8.31,4.43,13.59,8.42,4.33,11.22
S1W1,SW1,6,7.79,4.98,12.28,7.39,5.61,16.57
S2W1,SW1,1,10.77,4.58,11.41,9.15,5.63,11.44
S2W1,SW1,2,9.23,4.32,13.36,10.25,6.75,11.31
S2W1,SW1,3,9.57,5.94,10.67,8.77,4.83,12.31
S2W1,SW1,4,8.81,5.17,10.05,9.11,3.72,11.64
S2W1,SW1,5,8.68,5.12,9.79,9.18,4.23,11.36
S2W1,SW1,6,9.33,4.77,13.56,9.23,6.01,11.63
