MOUSE CODE,GENERAL CODE,TRIAL,R,T,D,H
P5W3,PW3,2,40.18,21,0.72,11.06
P5W3,PW3,3,40.18,48,2.52,10.15
N1W3,NW3,1,40.18,35,1.61,25.23
N1W3,NW3,2,40.18,31,1.38,18.97
N1W3,NW3,3,40.18,67,3.7,15.11
N2W3,NW3,1,40.18,24,0.9,9.38
N2W3,NW3,2,40.18,21,0.76,5.6
N2W3,NW3,3,40.18,22,0.8,10.44
N3W3,NW3,1,27.47,14,0.31,21.34
N3W3,NW3,2,27.6,14,0.32,17.33
N3W3,NW3,3,33.66,17,0.47,17.89
N4W3,NW3,1,33.66,17,0.47,18.25
N4W3,NW3,2,32.48,17,0.49,12.11
N4W3,NW3,3,40.18,21,0.72,14.65
N5W3,NW3,1,34.6,17,0.49,14.58
N5W3,NW3,2,40.18,36,1.7,16.08
N5W3,NW3,3,40.18,25,0.98,16.52
S1W3,SW3,1,40.18,71,4.01,5.54
S1W3,SW3,2,40.18,54,2.91,8.25
S1W3,SW3,3,40.18,154,9.44,5.48
S2W3,SW3,1,32.35,17,0.51,11.27
S2W3,SW3,2,23.5,12,0.23,21.03
S2W3,SW3,3,25.08,12,0.26,15.19
S3W3,SW3,1,40.18,31,1.39,11.47
S3W3,SW3,2,40.18,24,0.91,13.66
S3W3,SW3,3,40.18,28,1.16,18.12
S4W3,SW3,1,40.18,300,18.94,4.79
S4W3,SW3,2,40.18,300,18.94,12.97
S4W3,SW3,3,40.18,300,18.94,5.35
S5W3,SW3,1,40.18,21,0.74,10
S5W3,SW3,2,40.18,21,0.76,11.7
S5W3,SW3,3,40.18,27,1.11,13.87
C1W4,CW4,1,40.18,23,0.84,10.35
C1W4,CW4,2,40.18,22,0.8,11.17
C1W4,CW4,3,40.18,23,0.84,10.24
C2W4,CW4,1,40.18,30,1.33,14.1
C2W4,CW4,2,40.18,26,1.04,10.13
C2W4,CW4,3,40.18,24,0.95,11.15
C3W4,CW4,1,40.18,34,1.57,10.61
C3W4,CW4,2,40.18,28,1.18,10.74
C3W4,CW4,3,40.18,28,1.2,10.82
C4W4,CW4,1,40.18,27,1.1,12.61
C4W4,CW4,2,40.18,36,1.7,10.59
C4W4,CW4,3,40.18,36,1.73,10.96
C5W4,CW4,1,40.18,28,1.22,10.25
C5W4,CW4,2,40.18,25,0.98,10.81
C5W4,CW4,3,40.18,23,0.87,11.1
