Name,RA_2000_Deg,RA_2000_HMS,Dec_2000_Deg,Vmag,Spct
15Kap,8.25,0.55,62.931666666666665,4.16,B
52,8.147916666666667,0.5431944444444444,20.294444444444448,5.38,K
51,8.099166666666667,0.5399444444444444,6.955555555555556,5.67,B
,8.14375,0.5429166666666667,27.580555555555556,6.67,A
,8.204583333333334,0.5469722222222222,28.280277777777776,6.3,K
,8.293333333333333,0.552888888888889,54.894999999999996,5.93,K
Bet,8.1825,0.5455,-63.03111111111111,5.09,A
16,8.60375,0.5735833333333333,66.75027777777778,6.48,B
,8.42125,0.5614166666666667,-29.558333333333334,5.55,K
The,8.347083333333334,0.5564722222222223,-71.26611111111112,6.13,A
,8.615833333333333,0.5743888888888888,-52.37305555555555,5.57,F
,8.730416666666667,0.5820277777777778,13.371111111111112,6.4,K
13,8.812083333333334,0.5874722222222223,-3.592777777777778,5.2,F
14,8.886666666666667,0.5924444444444444,-0.5055555555555555,5.93,F
,9.034583333333334,0.6023055555555555,54.16861111111111,5.08,B
,8.977916666666667,0.5985277777777778,13.206666666666665,6.41,F
,9.11375,0.6075833333333334,60.32611111111112,5.79,A
Lam,8.92125,0.59475,-48.00083333333333,5.51,F
,8.889166666666666,0.5926111111111112,-54.82194444444445,6.06,K
,9.083333333333334,0.6055555555555555,27.254722222222224,6.5,B
,9.0125,0.6008333333333333,-14.973611111111111,6.45,G
,9.02875,0.6019166666666667,-22.842499999999998,6.06,A
,9.194166666666666,0.6129444444444444,44.48861111111111,5.13,K
17Zet,9.242916666666666,0.6161944444444444,53.89694444444444,3.66,B
29Pi,9.220416666666667,0.6146944444444444,33.71944444444445,4.36,B
53,9.197083333333333,0.6131388888888889,15.231666666666667,5.89,B
,9.28,0.6186666666666667,24.014166666666668,6.47,K
,9.337916666666667,0.6225277777777778,35.39944444444444,5.48,G
,9.947083333333333,0.6631388888888889,82.49388888888889,6.4,F
,9.33625,0.6224166666666667,-24.76722222222222,5.57,G
,9.155833333333334,0.6103888888888889,-65.12472222222222,6.42,K
,9.377083333333333,0.6251388888888889,3.1352777777777776,6.39,K
,9.325416666666667,0.6216944444444444,-54.39416666666666,6.41,K
30Eps,9.63875,0.6425833333333333,29.311666666666667,4.37,G
,9.79125,0.65275,49.35444444444445,5.43,K
31Del,9.832083333333333,0.6554722222222222,30.860833333333336,3.27,K
54,9.840833333333334,0.6560555555555556,21.250555555555554,5.87,K
55,9.981666666666667,0.6654444444444445,21.438333333333333,5.36,K
18Alp,10.127083333333333,0.6751388888888888,56.53722222222222,2.23,K
,9.67,0.6446666666666666,-73.13722222222223,6.85,A
,9.99125,0.6660833333333334,-33.961666666666666,6.69,F
,9.966666666666667,0.6644444444444445,-44.79666666666667,6.01,K
,10.119166666666667,0.674611111111111,-16.516944444444444,6.49,G
,10.137083333333333,0.6758055555555555,-23.804444444444446,6.14,G
,10.176666666666666,0.6784444444444444,-4.351944444444444,5.91,K
32,10.28,0.6853333333333333,39.45861111111111,5.33,G
,10.11,0.6739999999999999,-59.45444444444445,5.89,G
,10.514166666666666,0.7009444444444444,66.14750000000001,5.83,G
,10.4,0.6933333333333334,24.629166666666666,6.04,A
19Xi,10.51625,0.7010833333333333,50.5125,4.8,B
Mu,10.331666666666667,0.6887777777777778,-46.085,4.59,G
,10.629583333333333,0.7086388888888888,58.75333333333333,6.17,B
Xi,10.443333333333333,0.6962222222222222,-56.501666666666665,5.7,A
20Pi,10.867083333333333,0.7244722222222222,47.02472222222222,4.94,A
Lam,10.67875,0.7119166666666666,-38.46333333333334,6.06,A
,10.674166666666666,0.7116111111111111,-60.2625,5.98,K
Rho,10.618333333333334,0.7078888888888888,-65.46805555555555,5.39,F
16Bet,10.8975,0.7265,-17.986666666666668,2.04,G
,11.11,0.7406666666666666,47.86416666666667,5.67,B
,10.959166666666667,0.7306111111111111,-12.011666666666667,6.02,K
Eta,10.838333333333333,0.7225555555555556,-57.463055555555556,4.36,A
21,11.4125,0.7608333333333334,74.98805555555556,5.66,A
22Omi,11.18125,0.7454166666666666,48.28444444444444,4.54,B
