Name,RA_2000,Dec_2000,Vmag,Spct
,110025.6,+513007,6.43,G
,105930.9,-162114,5.89,M
,110020.6,+425441,6.02,F
,110105.8,+632516,6.39,A
7Alp,105946.5,-181756,4.08,K
49,110050.4,+391244,5.08,F
,110011.6,-140500,5.88,K
,105914.0,-611913,6.16,B
58,110033.6,+033703,4.84,K
,105959.4,-434826,5.81,B
,110009.3,-421333,4.39,A
59,110044.8,+060605,4.99,A
48Bet,110150.5,+562257,2.37,A
,110008.6,-514904,6.15,A
,110057.2,-154734,6.34,K
,110040.8,-315022,6.07,F
61,110149.7,-022905,4.74,M
60,110219.8,+201047,4.42,A
50Alp,110343.7,+614503,1.79,K
,110224.4,-264953,6.23,F
,110314.6,-004509,6.14,F
,105912.9,-813322,6.71,F
,110314.9,-111813,5.50,G
62,110336.6,-000003,5.95,K
,110316.1,-315739,6.46,M
,110336.5,-132604,6.34,G
51,110431.2,+381429,6.00,A
63Chi,110501.0,+072010,4.63,F
,110431.2,-474045,5.67,A
Eta,105913.8,-843538,6.19,A
,110454.2,-354817,5.43,A
Chi,110519.9,-271737,4.94,F
,110534.0,-110520,6.09,F
,110504.2,-492333,6.13,B
Chi,110557.6,-271716,5.71,A
,110605.8,-511245,6.30,G
65,110654.2,+015720,5.52,G
,110638.7,-284340,6.77,A
,110627.4,-505724,6.32,K
64,110739.7,+231925,6.46,A
,110629.3,-584031,6.02,K
,110708.4,-323514,6.59,F
,110632.4,-622527,4.61,G
,110624.2,-645023,6.41,A
,110716.6,-423819,5.15,A
,110754.4,-301029,6.54,G
,110649.9,-705241,5.57,B
,110939.9,+671237,6.06,F
,110815.8,-295822,6.49,A
67,110849.1,+243930,5.68,A
,110919.1,+361834,5.74,M
,110843.9,-280450,5.44,A
52Psi,110939.8,+442955,3.01,K
,110938.5,+431227,5.89,M
,110835.4,-585830,3.91,G
,110834.0,-615650,5.13,B
,110953.4,-322203,5.81,A
,111211.0,+681619,6.40,A
,111143.7,+142401,6.30,A
,111054.7,-582719,6.88,B
11Bet,111139.5,-224933,4.48,A
,111244.5,+545339,6.63,A
,111232.2,+354849,6.41,G
,111214.8,-322602,6.38,M
Psi,111230.4,-183000,6.13,A
,111234.6,-214457,6.40,K
,111129.5,-712611,6.35,K
,111233.1,-490604,5.36,A
,111340.2,+410519,6.33,K
,111236.0,-601903,4.60,A
,111256.9,-494411,6.11,G
,111314.7,-442220,5.80,K
,111245.2,-641011,5.23,B
69,111345.6,-000411,5.42,A
68Del,111406.5,+203125,2.56,A
,111401.8,+080338,5.79,K
70The,111414.4,+152546,3.34,A
,111339.3,-531354,5.76,K
,111330.8,-593710,5.74,B
72,111512.2,+230544,4.63,M
,111604.0,+524623,6.50,F
,111454.0,-434403,6.21,K
73,111551.9,+131827,5.32,K
,111557.8,+125041,6.67,A
,111641.9,+492835,5.88,K
74Phi,111639.7,-033906,4.47,A
,111658.2,-070805,6.14,A
,111627.7,-455248,6.31,F
75,111717.4,+020038,5.18,M
,111711.8,-380052,6.27,A
,111739.2,-344414,6.45,F
53Xi,111810.9,+313145,4.87,G
53Xi,111811.0,+313145,4.41,G
,111743.0,-363204,6.68,G
54Nu,111828.7,+330539,3.48,K
,111821.0,+115905,6.66,A
,111719.0,-674925,6.06,M
55,111907.9,+381108,4.78,A
76,111855.0,+013902,5.91,K
12Del,111920.5,-144643,3.56,G
,112053.8,+670602,6.21,G
,111916.5,-643457,5.99,F
,111834.3,-794007,6.35,A
77Sig,112108.2,+060146,4.05,B
,111936.3,-750833,6.27,B
,112149.3,+570430,6.43,A
,112003.9,-715940,6.41,B
Pi,112100.4,-542928,3.89,B
,112251.3,+641950,6.02,A
56,112249.6,+432858,4.99,G
,112223.1,-443845,6.12,G
,112318.0,+000754,6.05,K
13Lam,112321.9,-184648,5.09,F
,112312.7,-360953,5.00,K
,112157.1,-773630,6.43,A
,112308.1,-564646,5.79,A
78Iot,112355.5,+103145,3.94,F
79,112402.3,+012428,5.39,G
,112321.8,-645718,5.11,B
14Eps,112436.6,-105134,4.83,K
,112422.1,-424009,6.12,B
,112458.9,+112549,5.80,K
15Gam,112452.9,-174102,4.08,A
,112411.1,-721524,5.59,B
,112557.1,+555102,5.75,K
81,112536.4,+162723,5.57,F
,112529.4,-360347,5.22,K
80,112550.0,+035136,6.37,F
,112533.1,-374452,5.89,M
,112625.5,+332702,6.32,F
,112543.2,-635822,5.17,F
83,112645.3,+030047,6.50,K
,112635.3,-610655,5.30,B
16Kap,112709.5,-122124,5.94,F
,112647.3,-530936,5.81,K
84Tau,112756.2,+025122,4.95,G
,112753.7,-014200,6.25,K
,112758.5,-351943,6.45,K
,112904.6,+614642,5.83,F
57,112904.2,+392013,5.31,A
,112835.1,-424027,5.08,B
,112943.5,+564415,6.28,A
,112818.2,-722828,6.09,B
85,112941.9,+152448,5.74,K
,113012.9,+542142,6.41,K
,112938.6,-242748,5.76,A
,113150.4,+810738,6.15,A
,113025.0,+463927,6.35,K
58,113031.1,+431024,5.94,F
87,113018.9,-030013,4.77,K
86,113029.0,+182435,5.52,K
1Lam,113124.2,+691952,3.84,M
,113052.9,+475545,6.42,G
,113110.2,+484721,6.56,G
88,113144.9,+142152,6.20,G
,113115.0,-611642,6.38,A
,113220.8,+610457,5.48,F
,113147.6,-204636,6.24,F
Omi,113146.1,-592632,5.13,G
Omi,113148.8,-593057,5.15,A
,113216.1,-291548,5.81,F
,113216.3,-291540,5.64,F
,113223.3,-264448,6.16,M
,113247.5,-074939,5.95,K
,113248.1,-402611,5.64,K
,113219.9,-665744,5.90,K
,113254.1,-310514,5.04,M
Xi,113300.1,-315128,3.54,G
,113314.6,-161650,6.05,F
,113356.3,+364856,6.40,K
,113337.3,-403513,5.39,A
,113410.0,+110125,6.55,A
89,113422.0,+030336,5.77,F
90,113442.5,+164749,5.95,B
,113504.9,+544707,5.63,K
,113429.5,-324953,5.98,K
,113503.8,+202629,6.45,G
,113445.7,-541551,4.62,B
2,113602.8,+691922,5.20,K
,113456.8,-490812,5.50,K
,113513.2,-472221,5.71,M
,113543.4,+105440,6.56,A
,113617.9,+274652,5.80,F
,113555.6,-473830,5.25,A
Lam,113546.8,-630111,3.13,B
21The,113640.9,-094808,4.70,B
,113635.0,-333412,5.74,K
,113640.8,-371416,6.31,A
91Ups,113656.9,-004926,4.30,G
,113622.3,-610308,5.83,B
,113701.2,-325917,6.29,F
,113753.0,+503706,6.14,G
,113700.6,-611700,5.15,K
,113733.9,-474450,5.44,K
59,113820.6,+433732,5.59,F
,113809.8,+085303,6.17,K
Pi,113715.6,-755348,5.65,F
60,113833.5,+465003,6.10,F
,113849.2,+642049,6.46,A
,113832.2,+333732,6.27,K
1Ome,113827.6,+080803,5.36,M
,113824.1,-022610,6.22,G
,113748.4,-673713,5.96,K
,113844.9,+450631,6.44,G
,113807.3,-614935,5.15,A
24Iot,113840.1,-131207,5.48,F
,113900.4,-244316,6.42,G
,113951.1,-142807,6.21,A
,113950.4,-163713,6.19,M
,113929.4,-652352,5.17,G
,114027.4,+575814,6.37,B
Omi,114012.8,-344441,4.70,B
92,114047.1,+212110,5.26,K
61,114103.0,+341206,5.33,G
,114042.6,-535807,5.96,M
,114108.4,-291147,6.44,G
,114053.6,-620524,4.94,G
,114143.6,+551021,6.27,K
62,114134.3,+314446,5.73,F
,114119.8,-430545,5.55,A
,114144.0,-322959,5.22,K
3,114228.4,+664442,5.30,K
,114205.2,+221239,6.59,F
,114203.5,-201738,6.22,K
,114101.2,-830600,6.33,K
,114327.2,-371125,5.98,K
,114255.4,-791823,6.39,K
,114355.1,-064038,6.07,G
,114331.2,-622922,5.03,G
,114413.2,+251306,6.02,K
,114352.9,-625242,6.10,A
27Zet,114445.8,-182103,4.73,G
2Xi,114517.1,+081530,4.85,A
,114512.6,-490411,6.26,K
3Nu,114551.6,+063146,4.03,M
63Chi,114603.0,+474646,3.71,K
,114543.9,-454124,5.29,B
Lam,114536.4,-664343,3.64,A
,114655.6,+553742,5.27,K
,114630.8,-611042,4.11,G
,114631.1,-403002,4.91,G
,114707.0,-355425,6.17,G
,114715.7,-301713,6.48,G
,114719.1,-574147,5.41,K
93,114759.1,+201308,4.53,G
4,114754.9,+081445,5.32,A
,114823.5,-101848,6.26,F
Mu,114814.3,-664853,4.72,K
,114838.7,+141703,5.88,F
,114845.1,-264459,5.11,M
,114901.2,-001907,6.15,F
94Bet,114903.6,+143419,2.14,A
,114914.9,+161434,6.04,A
,114941.7,+345554,5.70,F
,114941.1,-634718,4.32,B
,114956.6,-701333,4.97,G
,115019.5,-155150,6.13,K
5Bet,115041.7,+014553,3.61,F
,115027.2,-623858,5.70,A
,115037.1,-271640,6.48,G
,115055.3,+121644,6.35,F
,115102.2,-052000,5.64,K
,115109.4,+332230,6.27,A
,115108.7,-451025,4.46,K
,115121.9,-121116,6.35,F
,115141.6,-305006,5.85,F
,115151.2,-651222,4.90,B
,115258.8,+374307,6.45,G
,115210.1,-565916,5.57,A
Bet,115254.6,-335429,4.28,B
,115326.8,-350400,6.17,A
64Gam,115349.8,+534141,2.44,A
,115350.3,+003307,6.30,F
,115411.5,-572436,6.06,A
,115425.8,-374456,6.46,F
,115442.5,-254250,5.30,G
6,115503.1,+082638,5.58,K
65,115505.7,+462837,6.54,A
65,115511.2,+462811,7.03,A
,115514.1,+364523,6.49,M
,115459.8,-631644,5.91,A
95,115540.5,+153848,5.53,A
,115540.1,-282837,5.93,K
66,115558.4,+563555,5.84,K
30Eta,115600.9,-170903,5.18,A
,115554.7,-394121,6.13,K
,115653.2,+613257,6.22,G
,115643.9,-470421,6.26,F
,115703.7,-331855,6.21,A
,115714.6,+402037,6.62,F
,115740.1,-622656,5.57,B
,115807.2,+321626,6.42,A
,115820.6,+612753,6.76,K
,115815.2,-561902,5.44,B
,115820.3,-405650,6.79,K
,115847.7,-642021,5.61,A
,115854.4,-255432,6.43,A
,115903.4,+003150,6.17,K
,115917.6,+331003,5.96,K
,115910.9,-514148,6.05,K
Eps,115937.3,-781319,4.91,B
,115957.2,+340206,6.50,A
7,115956.9,+033919,5.37,A
,120018.6,+805111,6.17,M
,120044.5,-102646,5.55,G
,120042.5,-215014,6.28,K
8Pi,120052.4,+063651,4.66,A
,120051.2,-193932,5.26,B
,120101.8,-014605,6.31,G
,120129.0,-573013,6.16,A
,120139.5,+360231,5.59,K
67,120206.8,+430244,5.21,F
,120220.1,-853754,6.05,K
,120228.6,-712920,6.42,K
,120237.7,-691132,5.89,B
,120251.6,-074101,6.22,K
The,120301.5,-631846,4.33,A
,120339.6,-422603,5.15,F
,120344.3,-741250,6.44,G
2,120416.6,+212733,5.87,F
The,120419.2,-630956,4.72,B
,120438.7,-681945,5.35,A
Kap,120446.5,-763109,5.04,K
,120428.1,+853514,6.27,F
,120457.1,-605809,5.96,M
9Omi,120512.5,+084359,4.12,G
,120515.1,+765421,5.80,G
,120539.7,+625559,6.13,K
,120553.2,-653250,6.33,B
,120556.7,-354138,6.23,B
,120559.8,-030754,6.37,G
,120619.8,-683903,6.23,G
,120623.1,-654233,6.06,G
Eta,120652.9,-643649,4.15,F
,120749.8,-752201,5.18,K
,120805.2,-503941,4.47,B
,120804.8,-504548,6.37,B
,120814.7,-484134,5.34,B
Del,120821.5,-504321,2.60,B
,120824.6,-605050,6.22,K
1Alp,120824.8,-244344,4.02,F
,120853.8,-441934,5.75,A
,120854.5,-411353,5.48,B
10,120941.3,+015352,5.95,K
,120947.3,+743941,6.35,F
,121002.5,-344218,6.17,A
11,121003.4,+054825,5.72,F
2Eps,121007.5,-223711,3.00,K
,121033.8,-375213,6.06,A
3,121031.6,+164833,6.39,A
,121046.1,+271653,6.01,A
,121104.9,-611639,6.08,F
3,121103.9,-233609,5.46,A
,121102.9,-452522,6.61,K
,121131.4,-512134,6.23,G
Rho,121139.1,-522207,3.96,B
,121100.0,+814236,6.00,K
4,121151.2,+255213,5.66,K
68,121144.9,+570316,6.43,K
,121201.2,+283210,6.49,F
5,121209.3,+203231,5.57,K
,121222.0,-625703,5.92,B
,121246.8,-700907,6.17,F
,121211.9,+773659,5.14,A
,121313.0,-340732,6.5,M
,121325.3,-385545,5.76,B
,121355.7,-783425,6.35,K
12,121325.9,+101544,5.85,A
,121336.7,-334734,6.33,A
,121402.6,-454326,5.31,K
,121416.8,-642431,6.22,B
,121443.4,+532605,6.16,K
,121459.6,-205039,5.83,G
Del,121508.7,-584456,2.80,B
,121510.6,-101845,6.11,F
,121530.5,-415447,6.26,K
,121508.5,+701200,5.71,K
69Del,121525.6,+570157,3.31,A
,121547.0,-232113,6.54,F
4Gam,121548.4,-173231,2.59,B
6,121600.2,+145356,5.10,A
,121623.5,-723653,6.22,A
,121541.4,+723303,6.29,K
2,121607.6,+403937,5.66,M
7,121620.5,+235643,4.95,G
,121630.1,+330341,5.00,K
,121706.0,-654134,6.06,A
,121703.3,-164137,6.05,A
Eps,121734.1,-675739,4.11,M
,121729.5,+531128,5.81,K
,121730.5,+285614,5.70,A
Bet,121820.7,-791844,4.26,B
,121747.3,-360538,6.15,A
,121744.3,+150839,6.34,K
,121809.1,-035716,6.99,F
,121809.6,-035655,6.54,F
Zet,121826.1,-640011,4.04,B
,121831.6,+301457,6.23,A
13,121840.3,-004714,5.90,A
,121859.7,-550835,5.00,M
,121651.4,+862610,6.33,F
,121902.1,+260028,6.48,A
8,121919.1,+230205,6.27,A
,121520.3,+874200,6.28,F
,121849.9,+750938,5.38,A
9,121929.6,+280925,6.33,F
15Eta,121954.4,-004001,3.89,A
3,121948.7,+485903,5.29,M
,122010.7,-221032,5.97,G
,122028.0,-655034,6.21,B
,122019.7,+263710,5.54,K
,122017.7,+260007,6.15,F
16,122021.0,+031845,4.96,K
5Zet,122033.7,-221257,5.21,B
11,122043.0,+174734,4.74,G
,122041.3,+270317,7.13,F
,122055.7,-133356,5.14,K
Eps,122121.6,-602404,3.59,K
70,122050.8,+575150,5.55,K
,122157.5,-562229,5.92,K
Zet,122207.3,-673119,5.15,A
Zet,122211.9,-681827,5.74,K
,122210.8,+244626,6.19,A
,122249.3,-574034,5.39,B
12,122230.3,+255046,4.81,G
17,122232.0,+051820,6.40,F
,122537.5,-860902,6.33,K
,122313.8,-673754,6.36,G
6,122321.6,-245026,5.68,K
,122335.4,-352446,5.32,B
,122336.9,-391811,6.40,F
,122344.9,-385440,5.79,B
4,122347.0,+423234,6.06,F
5,122401.5,+513344,4.80,G
13,122418.5,+260555,5.18,A
,122444.7,-412303,6.25,K
,122426.7,+253458,6.42,A
,122517.3,-654614,6.30,G
,122508.5,-423052,6.11,G
,122511.7,-113637,5.95,A
,122518.4,-274457,6.09,K
,122521.8,-351111,5.73,B
,122515.1,+235534,6.03,K
71,122503.2,+564639,5.81,M
,122506.4,+634810,6.32,G
6,122550.9,+390107,5.02,G
,122630.9,-630721,4.86,B
Alp,122635.9,-630557,1.33,B
Alp,122636.5,-630558,1.73,B
,122631.6,-512703,4.82,B
14,122624.1,+271606,4.95,F
,122648.2,-485448,6.26,G
,122651.7,-324948,5.55,B
,122724.6,-634721,6.00,B
15Gam,122656.3,+281606,4.36,K
16,122659.3,+264932,5.00,A
,122728.7,-585931,5.50,M
,122624.2,+715547,6.24,G
,122742.1,+083637,6.37,G
,122749.4,-163755,6.35,G
Sig,122802.4,-501350,3.91,B
,122818.9,-642029,6.04,A
73,122735.1,+554246,5.70,M
,122751.6,-043655,6.22,A
,122825.5,-614743,6.22,K
,122822.5,-390229,5.44,B
,122833.4,-562428,6.15,K
,122838.1,+261336,6.54,A
,122844.6,+255357,6.65,A
17,122854.7,+255446,5.29,A
18,122926.9,+240632,5.48,F
,122953.9,-563129,5.80,M
,122957.9,-414410,6.02,M
20,122943.2,+205346,5.69,A
7Del,122951.9,-163056,2.95,B
,123004.8,-132335,6.35,G
,123017.5,-234148,5.63,M
74,122957.3,+582421,5.35,A
7,123002.9,+513208,6.21,F
75,123004.3,+584603,6.08,G
Gam,123109.9,-570648,1.63,M
Gam,123116.7,-570452,6.42,A
4,123006.7,+691204,4.95,M
21,123100.6,+243402,5.46,A
,123050.1,+530436,6.21,F
,123140.3,-592526,5.48,F
,123210.0,-730006,5.88,K
,123121.4,+073615,6.05,K
,123155.8,-633022,5.95,A
,123138.7,-050309,6.19,G
Gam,123228.0,-720759,3.87,B
,123204.5,-323201,6.46,A
8Eta,123204.2,-161146,4.31,F
,123236.0,-135133,5.74,F
20,123302.9,+101744,6.26,G
,123322.4,-194731,6.26,F
,123334.3,-124949,5.58,G
22,123334.2,+241659,6.29,A
21,123346.8,-092707,5.48,A
,123359.2,-495434,6.38,F
,123338.9,+331451,5.42,K
,123347.4,+332305,6.24,K
8Bet,123344.5,+412127,4.26,G
9Bet,123423.2,-232348,2.65,G
5Kap,123329.0,+694718,3.87,B
,123442.3,-444024,5.77,G
23,123451.1,+223745,4.81,A
,123529.0,-615031,6.22,G
24,123506.3,+182238,6.56,A
24,123507.8,+182237,5.02,K
,123508.1,+215253,5.85,K
,123545.5,-410119,5.13,A
6,123444.0,+700119,4.94,K
,123601.2,-395212,5.80,A
,123558.6,-203138,6.20,F
Alp,123711.0,-690808,2.69,B
25,123647.4,-054955,5.87,A
,123623.3,+592913,5.5,M
25,123658.3,+170522,5.68,K
Tau,123742.2,-483228,3.86,A
,123742.2,-270820,5.45,F
,123914.5,-752210,6.49,B
,123804.4,+031657,6.33,A
,123852.5,-671135,6.25,B
,123822.4,+015117,5.71,M
,123830.0,+065918,7.08,M
,123844.6,-181501,6.00,A
,123903.5,-302520,5.89,K
9,123846.3,+405228,6.37,A
,123902.1,+223934,6.38,K
26Chi,123914.8,-075944,4.66,K
,123955.6,-663042,6.26,B
26,123907.3,+210345,5.46,G
,123916.9,+355707,6.45,A
,123952.5,-395915,4.64,B
,124123.0,-460844,5.84,K
Gam,124131.0,-485735,2.17,A
,124205.1,-692427,6.33,F
,124116.0,-130049,6.08,F
,124116.2,-130054,5.98,F
,124156.6,-594109,4.93,B
27,124134.4,+102535,6.19,A
29Gam,124139.6,-012658,3.65,F
29Gam,124139.6,-012658,3.68,F
,124149.2,-194531,6.03,F
30Rho,124153.1,+101408,4.88,A
31,124157.1,+064824,5.59,A
,124250.3,-630331,5.31,B
,124235.4,-484847,4.66,K
,124249.6,-555650,6.08,B
76,124133.9,+624247,6.07,A
,124309.1,-561034,6.00,B
,124328.2,-585411,6.40,K
,124326.3,-401040,6.44,A
,124338.1,-013437,5.93,G
,124358.7,-362057,6.39,A
,124400.5,-281926,5.48,K
,124304.2,+610920,6.38,K
,124501.7,-684952,6.16,F
Iot,124537.9,-605852,4.69,K
,124427.1,+440611,6.33,F
Bet,124616.9,-680629,3.05,B
10,124459.5,+391644,5.95,G
,124507.8,+452625,4.99,C
32,124537.1,+074024,5.22,F
,124622.7,-562920,4.65,B
33,124622.5,+093224,5.67,K
,124646.0,-331856,5.86,K
27,124638.7,+163439,5.12,K
,124426.0,+803716,6.40,A
Bet,124743.2,-594119,1.25,B
,124702.3,+055703,6.34,A
34,124713.6,+115729,6.07,A
,124733.4,-061807,6.26,F
,124753.7,-245106,6.44,B
35,124751.4,+033422,6.41,M
,124718.9,+624651,5.89,A
,124826.4,-273551,5.66,G
28,124814.3,+133311,6.56,A
,124944.9,-715911,5.55,G
7,124734.4,+664725,5.43,K
,124847.0,+245025,6.31,G
29,124854.2,+140721,5.70,A
11,124841.8,+482801,6.27,A
,124839.4,+601912,5.85,F
,125012.0,-602403,6.75,A
30,124917.4,+273308,5.78,A
Iot,125458.6,-850724,5.46,K
,125019.6,-482735,6.24,A
,125057.9,-524715,5.73,A
,125017.4,+225148,6.43,K
,125041.2,-335958,4.91,A
,125010.7,+373101,5.89,A
,125117.8,-601947,5.72,A
,125122.9,-102018,6.41,G
37,125136.9,+030324,6.02,K
,125156.8,-394051,5.98,B
,125205.3,-480539,6.33,A
,125157.9,-264417,6.15,A
,125224.6,-534946,6.24,G
31,125141.9,+273226,4.94,G
32,125212.3,+170426,6.32,M
,125303.9,-545709,5.93,K
,125227.6,+160721,6.30,A
,125321.8,-601943,5.76,B
,125306.9,-485636,4.33,K
,125326.2,-401044,4.27,A
Kap,125349.1,-602237,5.90,B
38,125311.2,-033311,6.11,F
,124906.6,+832505,5.85,A
,124913.6,+832446,5.28,A
35,125317.8,+211442,4.90,G
,125422.0,-582550,6.58,F
,125338.1,-041326,6.44,K
Lam,125439.2,-590848,4.62,B
Mu,125435.6,-571040,4.03,B
Mu,125436.8,-571006,5.17,B
41,125349.7,+122507,6.25,A
,125418.7,-113855,6.00,A
40Psi,125421.2,-093220,4.79,M
,125458.5,-440907,5.89,G
,125413.1,+333204,6.26,A
77Eps,125401.7,+555735,1.77,A
,125519.4,-425457,5.47,M
,125631.5,-721107,5.93,G
,125557.0,-565010,5.32,O
,125456.5,+471148,5.84,M
43Del,125536.2,+032351,3.38,M
,125553.3,-151937,6.17,A
,125630.1,-262737,6.62,F
,125704.4,-511155,5.16,B
12Alp,125600.4,+381853,5.60,F
12Alp,125601.7,+381906,2.90,A
8,125528.5,+652619,5.24,F
,125617.6,+540558,5.82,A
,125733.2,-224514,6.31,G
,125707.7,+461037,6.12,K
36,125855.4,+172434,4.78,M
44,125939.5,-034843,5.79,A
,130032.6,-333019,6.02,F
Del,130216.2,-713256,3.62,K
37,130016.5,+304706,4.90,G
46,130035.9,-032207,5.99,K
,130038.8,+182223,6.20,F
,125847.3,+752821,6.01,K
9,125955.1,+663550,5.32,K
38,130109.6,+170723,5.96,K
,130305.2,-712834,6.03,B
78,130043.8,+562159,4.93,F
47Eps,130210.6,+105733,2.83,G
Xi,130333.2,-493138,4.85,A
,130146.8,+633637,6.00,F
,130346.1,-203459,5.58,F
,130240.4,+594258,6.53,A
48,130354.4,-033948,6.59,F
,130448.1,-411148,6.26,M
,130530.8,-520654,6.43,M
,130616.7,-482749,4.71,B
,130635.1,-413519,5.59,K
Xi,130654.6,-495422,4.27,B
14,130544.5,+354756,5.25,B
,130724.2,-595138,5.99,F
,130552.3,+451607,5.63,K
39,130621.2,+210912,5.99,F
,130654.3,-355143,6.54,A
,130610.2,+290146,6.54,A
40,130622.6,+223658,5.60,M
,130449.7,+730131,6.31,F
,130738.3,-532735,5.71,B
The,130807.0,-651823,5.51,B
,130622.7,+620231,6.14,G
41,130710.7,+273729,4.80,K
49,130753.8,-104425,5.19,K
,130753.6,+273321,6.19,K
,130832.5,-085904,5.55,K
45Psi,130903.3,-230705,4.95,K
,130914.4,-093218,6.32,K
,130912.4,+100120,5.78,K
50,130945.3,-101946,5.94,K
,130947.8,+165055,5.91,K
51The,130957.0,-053220,4.38,A
,130938.7,+372523,6.02,K
,131058.4,-523401,6.06,A
,131151.6,-695631,5.91,F
15,130942.0,+383202,6.28,B
42Alp,130959.3,+173146,5.22,F
42Alp,130959.3,+173146,5.22,F
,131108.8,-421359,5.79,F
17,131003.2,+382956,5.91,A
,131153.1,-631810,6.33,A
,131123.2,-432208,5.25,K
,130950.2,+621345,6.54,A
,131217.4,-595515,4.60,B
,131417.2,-782650,5.85,F
,131248.9,-661337,5.90,A
,131139.2,-263306,6.50,A
,131203.2,-374811,4.85,G
,131256.0,-594900,6.16,G
53,131203.5,-161155,5.04,F
,131250.9,-424159,6.22,K
43Bet,131152.4,+275241,4.26,F
,131208.4,+241529,6.33,K
,131323.5,-504200,5.89,B
,131232.9,+113322,5.77,M
,131235.9,+184506,6.53,G
,131412.1,-584102,5.89,K
,131414.8,-590612,4.92,F
54,131326.8,-184936,6.28,B
,131357.5,-430820,6.16,K
,131312.4,+184337,6.11,G
Eta,131514.9,-675340,4.80,B
,131525.7,-694047,6.37,K
55,131410.9,-195551,5.33,G
,131443.1,-485724,5.89,K
,131343.0,+400910,4.92,G
,131431.3,+111954,5.67,M
,131509.7,-362216,6.19,K
,131644.8,-650818,6.07,F
57,131558.8,-195635,5.22,K
,131713.0,-664701,4.87,K
,131332.0,+724756,6.59,A
19,131532.0,+405119,5.79,A
,131625.5,-012326,6.68,F
,131653.1,-313022,5.10,K
,131614.3,+190306,6.45,G
,131713.9,-435846,5.84,A
,131225.4,+802817,6.25,K
,131632.3,+194707,6.45,F
59,131646.5,+092527,5.22,G
,131918.9,-720208,6.04,K
,131715.6,+134032,5.33,K
,131729.9,-004036,6.37,F
60Sig,131736.3,+052811,4.80,M
,131834.6,-511710,6.19,A
20,131732.5,+403421,4.73,F
,131628.6,+682429,6.20,B
61,131824.3,-181841,4.74,G
46Gam,131855.3,-231018,3.00,G
,131851.1,+034116,6.62,A
,131827.8,+340553,5.82,K
21,131814.5,+494055,5.15,A
,132034.9,-594624,6.18,F
,131904.2,+350741,6.02,F
,132037.8,-524453,5.48,B
,132048.3,-554802,6.02,B
Iot,132035.8,-364244,2.75,A
,132057.7,-465250,5.77,K
,132252.6,-720848,6.05,B
,132041.6,+025630,6.26,A
23,132019.0,+400902,5.60,K
,132129.9,-192920,6.21,A
,132235.7,-605820,6.18,B
,132237.9,-605918,4.53,B
,132216.2,-521059,5.83,B
,132141.6,+020514,5.69,A
,132252.7,-475635,6.16,A
,132302.6,-483346,6.38,B
64,132209.7,+050917,5.87,A
,132400.5,-643209,4.53,G
Iot,132507.1,-745316,5.05,K
,132308.7,-331124,6.22,M
63,132301.1,-174407,5.37,K
,132203.8,+435411,6.35,A
,132352.3,-494923,6.48,G
65,132318.9,-045528,5.89,K
,132513.9,-642907,5.31,F
,132550.1,-703739,5.67,A
66,132433.2,-050950,5.75,F
Iot,132718.3,-744131,6.63,B
,132354.0,+370202,6.07,M
,132430.5,+122555,6.44,K
79Zet,132355.5,+545531,2.27,A
79Zet,132356.4,+545518,3.95,A
67Alp,132511.6,-110941,0.98,B
,132506.7,+235116,5.78,A
,132607.8,-394519,5.09,K
,132611.4,-011133,5.97,A
,132656.1,-412953,5.69,K
,132706.3,-490838,6.31,A
80,132513.5,+545917,4.01,A
,132720.8,-492251,6.28,B
68,132643.2,-124228,5.25,M
,132714.7,-400947,6.40,G
,132846.4,-693741,6.20,A
,132616.6,+460141,5.88,K
69,132727.2,-155825,4.76,K
,132907.6,-644033,6.11,A
,132559.9,+631540,6.50,G
,132925.2,-510955,5.06,A
70,132825.8,+134644,4.98,G
,132608.1,+722329,5.79,M
,132704.6,+644408,6.66,F
,132710.7,+644310,7.04,F
,132759.5,+524445,6.34,F
,132826.2,+404347,6.47,G
,132914.9,-012152,6.43,K
,132811.7,+503514,6.80,F
,132942.8,-231653,4.97,M
71,132913.0,+104906,5.65,K
,133314.8,-773406,6.48,F
,132845.7,+504306,6.43,F
Kap,134055.5,-854710,5.58,A
,132827.1,+595645,5.40,A
,133000.1,+071044,6.17,K
,132957.6,+060048,6.51,K
72,133025.7,-062813,6.09,F
,133102.7,-392427,3.88,G
,133133.3,-280646,6.47,A
,132656.7,+783838,5.77,G
,133205.3,-382357,6.16,K
,133335.7,-653757,6.37,A
73,133202.8,-184344,6.01,F
74,133157.9,-061521,4.69,M
,133115.8,+420622,6.08,K
,133235.9,-284134,5.69,A
,133234.5,-293355,6.45,F
75,133251.7,-152147,5.55,K
76,133258.1,-100954,5.21,K
,133300.7,-071142,6.68,M
,133248.1,+242047,6.11,G
,133428.9,-481620,6.33,B
,133443.6,-331839,6.44,K
78,133407.9,+033932,4.94,A
,133440.5,-131252,5.91,A
79Zet,133441.6,-003545,3.37,A
,133421.8,+384721,6.37,F
81,133407.3,+552055,5.60,A
,133447.8,+371057,4.98,F
80,133531.3,-052346,5.73,G
24,133427.3,+490058,4.70,A
,133712.2,-614131,5.63,F
,133533.3,+101217,6.49,K
,133911.9,-754102,6.34,B
,133514.1,+441149,6.84,A
,133650.5,-342804,6.50,K
,133706.0,-440836,5.98,G
,133845.7,-702642,6.10,K
