Name,RA_2000,Dec_2000,Vmag,Spct
,013515.2,-580822,6.01,F
,013807.6,+575839,5.56,G
Tau,013608.4,-295427,5.69,F
102Pi,013705.9,+120830,5.57,F
51,013759.6,+483742,3.57,K
,013831.7,+452400,6.36,B
,013737.7,-092414,6.24,F
,013339.2,-783017,6.11,K
,013644.8,-581615,6.18,M
52Chi,013921.0,+442310,4.98,G
,014013.1,+535206,6.39,K
,013827.4,-363142,5.94,K
Alp,013742.9,-571412,0.46,B
,013851.8,-211631,5.58,A
,013850.0,-250119,6.70,B
105,013940.8,+162421,5.97,K
,014039.8,+431752,5.61,A
53Tau,014034.8,+403437,4.94,B
43,014220.5,+680235,5.59,A
,013848.2,-532620,6.84,F
42,014255.9,+703721,5.18,B
,014203.0,+610218,6.71,B
,014217.8,+583740,6.37,B
,014147.2,+423649,4.95,G
,014118.4,+254445,6.17,F
,014139.2,+300250,5.99,K
,013947.4,-561153,5.87,K
,013947.8,-561141,5.76,K
,014258.4,+612518,6.34,B
106Nu,014125.9,+052915,4.44,K
,014203.5,+351444,5.64,B
44,014319.7,+603304,5.78,B
,014144.7,-111929,5.75,F
107,014229.8,+201607,5.24,K
,014127.3,-380759,6.17,F
,014316.5,+451920,6.34,K
Phi,014339.6,+504119,4.07,B
Pi,014208.6,-321937,5.25,K
,014203.0,-364957,5.72,A
,014417.9,+573211,6.21,A
,014243.5,-034125,4.99,K
,014141.1,-500220,6.64,A
,014446.1,+570521,6.25,A
,014350.0,+321130,6.34,G
,014426.5,+460823,6.35,K
,014148.0,-604722,5.71,K
,014229.3,-534426,5.52,F
,014354.8,-044556,6.19,K
109,014455.8,+200459,6.27,G
52Tau,014404.1,-155615,3.50,G
110Omi,014523.6,+090928,4.26,G
,014744.8,+635108,5.63,K
,013755.6,-825830,5.87,G
,014559.3,-054400,5.34,K
Eps,014538.8,-250309,5.31,F
,014635.3,+172447,6.55,A
Tau,014121.3,-790854,6.33,G
,014601.0,-272057,6.39,F
,014748.0,+461347,6.32,F
,014605.8,-504859,5.49,M
,014606.3,-533119,5.04,A
,014838.9,+375710,5.94,K
4,014810.9,+165720,5.84,B
,014841.6,+324125,5.79,F
,014716.8,-414536,6.18,K
,013728.0,-844611,5.69,G
,014915.7,+475349,5.82,A
,014826.0,+034108,5.91,G
,014747.8,-370935,6.32,K
,015057.1,+515600,5.90,F
1,015008.5,+221631,5.86,K
53Chi,014935.1,-104111,4.67,F
,014919.5,-310422,6.34,K
1,015159.3,+550851,5.52,B
,015052.0,+110236,5.94,F
,014948.8,-382414,6.37,F
2,015209.4,+504734,5.79,B
,015020.2,-474859,6.14,K
,015250.8,+512829,6.26,A
55Zet,015127.6,-102006,3.73,K
,015348.5,+553553,6.45,A
,015054.5,-501222,5.94,A
45Eps,015423.7,+634012,3.38,B
55,015317.3,+404347,5.40,K
2Alp,015304.9,+293444,3.41,F
5Gam,015331.8,+191745,4.83,B
5Gam,015331.8,+191737,4.75,A
,015252.1,-165545,5.80,F
46Ome,015600.0,+684107,4.99,B
111Xi,015333.3,+031115,4.62,K
Tau,014746.5,-801036,6.06,F
,015453.8,+404207,6.24,K
,015457.5,+370742,6.26,K
6Bet,015438.4,+204829,2.64,A
,015323.2,-383541,6.10,K
Psi,015338.8,-461809,4.41,M
,015554.4,+371640,5.89,M
56,015609.3,+371506,5.67,K
Phi,015422.0,-422949,5.11,A
7,015551.0,+233438,5.74,K
,015553.8,+015059,6.01,F
,015833.3,+614153,6.02,B
,015756.4,+414140,6.78,B
8Iot,015721.1,+174903,5.10,K
,015743.8,+274816,5.82,M
56,015640.2,-223137,4.85,K
Chi,015557.5,-513632,3.70,G
,015938.0,+643717,5.26,A
3,015833.6,+491215,5.69,K
9Lam,015755.7,+233546,4.79,F
Eta,015456.1,-673850,4.69,G
,015546.4,-605141,6.06,F
,020257.2,+775459,6.04,K
,015700.1,-514558,6.10,F
,015710.0,-472306,4.83,G
48,020157.4,+705425,4.54,A
,015826.7,-330400,6.35,K
,015935.7,+210330,5.87,K
,015925.9,+121741,6.09,A
,020310.5,+735102,6.23,A
50,020326.1,+722517,3.98,A
47,020507.4,+771653,5.38,F
112,020009.2,+030550,5.88,G
57,015946.1,-204928,5.41,M
,015753.6,-652529,6.37,G
59Ups,020000.3,-210440,4.00,M
52,020252.7,+645405,6.00,A
,020026.9,-083125,5.51,M
,015938.8,-420150,5.57,K
53,020300.3,+642324,5.58,B
4,020218.1,+542915,5.04,B
Alp,015846.2,-613411,2.86,F
49,020531.2,+760654,5.22,G
Sig,015550.5,-782054,6.16,F
Pi,020114.7,-300006,5.35,G
113Alp,020202.8,+024549,5.23,A
113Alp,020202.8,+024549,4.33,A
,020925.3,+811745,6.05,A
,020440.1,+650612,6.52,A
3Eps,020258.0,+331702,5.50,A
,015941.1,-660359,6.10,K
,020235.2,+132836,5.94,M
Chi,020142.4,-444249,5.14,K
57Gam,020354.0,+421947,2.26,K
57Gam,020354.7,+421951,4.84,B
10,020339.3,+255608,5.63,F
,020228.1,-293954,6.42,A
60,020311.7,+000742,5.43,A
,020258.6,-151821,5.86,G
,020342.6,+181512,6.21,K
61,020348.2,-002025,5.93,G
,020340.5,-040613,5.62,K
Nu,020429.4,-291749,4.69,B
12Kap,020633.9,+223854,5.03,A
,020612.3,+081451,6.31,M
11,020649.2,+254217,6.15,B
,020629.3,+000206,6.28,K
13Alp,020710.4,+232745,2.00,K
,020840.5,+582525,5.67,A
,020833.6,+442734,6.42,G
58,020829.3,+375133,4.82,A
,021007.8,+535035,6.31,G
4Bet,020932.6,+345914,3.00,A
14,020925.3,+255623,4.98,F
,020923.1,+171328,6.43,F
,020845.7,-174646,6.10,M
,021321.2,+740140,6.29,G
5,021129.0,+573845,6.36,B
59,021052.8,+390222,5.63,B
59,021053.7,+390235,6.10,A
,020934.8,-242045,6.48,F
15,021037.6,+193001,5.70,M
,020909.3,-433100,5.85,K
16,021112.0,+255613,6.02,K
5,021125.0,+313135,6.23,A
64,021121.1,+083411,5.63,G
,021004.9,-434856,6.32,G
,021025.6,-504928,6.12,K
,021122.2,-100308,6.01,F
63,021135.8,-014931,5.93,G
55,021429.1,+663128,6.07,G
,021341.5,+583340,6.44,A
6,021222.3,+301811,4.94,G
60,021313.3,+441354,4.83,K
,021237.5,+241004,5.96,K
,021336.3,+510357,5.31,G
17Eta,021248.1,+211239,5.27,F
,021402.6,+472903,6.06,F
19,021303.3,+151647,5.71,M
65Xi,021300.0,+085048,4.37,G
66,021247.5,-022337,5.54,F
,021300.9,-210001,5.86,G
Mu,021254.5,-304326,5.28,B
,021557.9,+474841,6.33,G
,021651.7,+570319,6.48,B
7,021556.2,+332132,5.28,A
20,021546.0,+254659,5.79,F
21,021542.8,+250235,5.58,F
,021528.3,-092756,6.55,A
,021432.0,-411000,5.91,G
8Del,021703.2,+341327,4.87,G
8,021759.9,+575359,5.75,K
7,021804.5,+573100,5.98,G
,021733.4,+441825,6.7,M
9Gam,021718.9,+335050,4.01,A
,021710.4,+234604,6.55,G
67,021659.0,-062520,5.51,G
Pi,021414.7,-675030,5.55,M
,022012.9,+642014,6.60,B
22The,021807.5,+195404,5.62,A
62,021916.8,+472248,5.30,A
,021910.9,+462821,6.21,A
,021801.4,+014528,5.58,G
,021922.7,+485719,6.37,F
Phi,021630.6,-513044,3.56,B
10,021857.0,+283833,5.03,A
,021858.0,+231004,6.46,A
,021937.3,+395006,6.63,B
Pi,021528.5,-674447,5.69,K
,022041.4,+471839,6.11,B
,022004.4,+301118,6.47,K
68Omi,021920.7,-025839,3.04,M
63,022058.2,+500905,5.59,B
,021858.5,-255644,6.34,G
,021940.8,-042044,6.50,A
9,022221.4,+555044,5.17,A
,021924.7,-415054,6.37,K
,022250.3,+412347,5.82,F
,021954.3,-555641,5.81,K
69,022156.6,+002345,5.28,M
,022351.8,+552152,6.28,F
70,022212.4,-005306,5.42,F
,022201.4,-104640,5.46,F
,022205.0,-173944,5.87,K
64,022424.9,+500024,5.19,G
Kap,022232.6,-234859,5.20,G
10,022516.0,+563636,6.25,B
,022257.8,-182116,6.22,G
,022211.8,-431200,6.31,K
65,022537.4,+501643,4.71,K
,022306.5,-373435,6.53,K
,022254.6,-510532,5.92,A
24Xi,022449.0,+103638,5.47,B
,022420.1,-255051,6.44,K
71,022458.4,-024648,6.33,A
Del,022144.9,-683934,4.09,A
,022433.8,-405026,6.18,G
Iot,022904.0,+672409,4.52,A
72Rho,022557.0,-121726,4.89,B
66,022751.8,+503411,6.12,F
,022600.3,-152028,5.83,A
,022707.0,+270048,6.18,K
11,022727.7,+314805,5.54,K
,022635.2,-200234,5.88,K
Lam,022453.9,-601843,5.35,F
Kap,022252.3,-733845,5.01,K
,022925.0,+553211,6.51,A
12,022810.0,+294010,5.29,F
73Xi,022809.5,+082736,4.28,B
,022800.0,+015739,6.45,K
13,022848.5,+295555,5.89,G
Kap,022659.1,-474214,4.25,B
,022526.3,-662941,6.41,M
,022913.6,+232808,6.19,A
Phi,022801.7,-334840,5.14,A
,022935.3,+093357,6.07,K
,023016.6,+335002,6.25,K
,022835.4,-310609,6.11,K
,023032.4,+251406,5.92,F
26,023038.4,+195119,6.15,A
,022955.4,-224058,6.77,A
27,023054.4,+174214,6.23,G
,023045.2,+001519,6.00,A
,023013.8,-251111,6.51,A
,022804.4,-641759,6.37,A
,023032.8,-223244,6.10,M
14,023206.2,+360850,5.15,K
,023130.1,+021602,5.25,K
,023252.5,+343233,5.83,K
75,023209.4,-010206,5.35,G
76Sig,023205.2,-151441,4.75,F
29,023254.1,+150205,6.04,F
,023214.8,-362539,6.30,G
,023802.0,+724906,5.16,G
Lam,023307.0,-343900,5.90,K
,023340.2,-200007,6.21,K
,023527.9,+393952,6.36,B
,023736.1,+654444,5.78,K
,023538.8,+371844,5.71,K
Ome,023350.7,-281357,4.90,B
15,023546.8,+344115,5.35,M
,023504.1,+072817,6.18,G
77,023442.7,-075134,5.75,K
,023604.9,+065313,5.82,K
78Nu,023552.5,+053536,4.86,G
,023354.6,-510537,6.24,F
,023657.2,+384358,5.90,F
,023642.9,+313627,6.10,K
,023702.5,+341550,5.3,M
80,023600.0,-074954,5.53,M
,023720.8,+395345,6.54,B
,023706.4,+325331,6.25,F
,023333.6,-623513,6.77,B
31,023637.9,+122651,5.68,F
30,023657.7,+243854,7.09,F
30,023700.5,+243851,6.50,F
,023635.1,+074347,5.81,K
Iot,023609.3,-300241,5.75,G
,023817.8,+374336,6.18,F
,023827.8,+380522,6.30,B
,023800.8,+074143,6.39,F
81,023741.8,-032346,5.65,G
Lam,023658.6,-343442,5.79,G
32Nu,023849.0,+215741,5.43,A
,024747.6,+812654,5.78,G
,023836.9,+032635,6.21,G
Mu,023140.5,-790634,5.28,G
Iot,023818.7,-301139,5.83,F
Eta,023724.4,-523235,5.31,A
82Del,023929.0,+001943,4.07,B
,023824.8,-375926,6.49,G
83Eps,023933.8,-115220,4.84,F
33,024041.1,+270339,5.30,A
,024015.7,+060643,6.25,F
,024012.3,-092711,5.78,F
11,024302.8,+550621,5.77,B
,024002.5,-303802,6.52,K
,024259.7,+533134,5.84,K
12,024214.9,+401138,4.91,F
,023948.0,-425330,4.75,A
84,024113.9,-004145,5.71,F
,024449.7,+674929,5.95,A
,024301.9,+481556,6.48,G
34Mu,024222.0,+200042,5.69,A
Iot,024040.0,-395120,4.11,K
,024148.3,-031248,6.05,G
,024134.0,-143258,5.98,F
,024228.9,+104430,6.30,A
,023931.7,-641655,6.55,B
13The,024412.0,+491342,4.12,F
14,024405.2,+441749,5.43,G
35,024327.1,+274226,4.66,B
Zet,024039.6,-543300,5.21,F
,024351.2,+253817,6.35,A
86Gam,024318.0,+031409,3.47,A
,024206.6,-382302,6.01,G
Eps,023935.4,-681601,4.11,B
,024208.5,-463128,6.10,K
36,024419.1,+174550,6.46,K
37Omi,024432.9,+151842,5.77,B
Iot,024233.5,-504801,5.41,G
89Pi,024407.4,-135131,4.25,B
38,024457.6,+122645,5.18,A
87Mu,024456.5,+100651,4.27,F
,024320.3,-403139,6.36,B
,024855.5,+693803,6.18,A
,024520.9,+044242,6.03,F
,024420.5,-323130,6.22,A
1Tau,024506.2,-183421,4.47,F
,024658.3,+355901,6.25,G
,024703.5,+353318,6.30,A
